"id","type"
1,Seafood
2,Asian Fusion
3,Ramen
4,Italian
5,Japanese
6,American (New)
7,Breakfast & Brunch
8,Bars
9,Korean
10,Tapas/Small Plates
11,Southern
12,Mexican
13,Thai
14,Chinese
15,Gastropubs
16,American (Traditional)
17,Greek
18,Burmese
19,British
20,Caribbean
21,Spanish
22,Dim Sum
23,Sushi Bars
24,Latin American
25,Soul Food
26,Pizza
27,Tapas Bars
28,German
29,Burgers
30,Vietnamese
31,Chicken Wings
32,Bakeries
33,Mediterranean
34,Steakhouses
35,Comfort Food
36,Cajun/Creole
37,Cocktail Bars
38,Noodles
39,Laotian
40,Singaporean
41,Hawaiian
42,Moroccan
43,Beer Bar
44,French
45,Grocery
46,Wine Bars
47,Shanghainese
48,Brasseries
49,Japanese Curry
50,Barbeque
51,Argentine
52,Cuban
53,Teppanyaki
54,Middle Eastern
55,Breweries
56,Chicken Shop
57,Basque
58,Modern European
59,Peruvian
60,Filipino
61,Gluten-Free
62,Portuguese
63,Vegan
64,Hot Dogs
65,Pubs
66,Food Trucks
67,Persian/Iranian
68,Sandwiches
69,Diners
70,Cafes
71,Belgian
72,Scandinavian
73,Indian
74,Sports Bars
75,Hot Pot
76,Dive Bars
77,Malaysian
78,Coffee & Tea
79,Russian
80,Pop-Up Restaurants
81,Do-It-Yourself Food
82,Ice Cream & Frozen Yogurt
83,Izakaya
84,Tacos
85,Himalayan/Nepalese
86,Tea Rooms
87,Lounges
88,Venues & Event Spaces
89,Irish
90,Creperies
91,Music Venues
92,Cambodian
93,Afghan
94,Turkish
95,Ethiopian
96,Cheesesteaks
97,Taiwanese
98,Jazz & Blues
99,Desserts
100,Indonesian
101,Conveyor Belt Sushi
102,Brazilian
103,Delis
104,Waffles
105,Fast Food
106,Cantonese
107,Szechuan
108,Poke
109,Themed Cafes
