"rid","rating","numVotes"
1,4.0,3830
2,4.5,4198
3,4.5,794
4,4.5,32
5,4.0,181
6,4.5,4770
7,4.0,4640
8,4.5,2949
9,4.0,8704
10,5.0,16
11,4.0,2335
12,4.5,1623
13,4.0,2238
14,4.0,1745
15,4.0,1711
16,4.5,906
17,4.5,27
18,4.5,4717
19,4.0,3609
20,4.0,1323
21,4.0,3197
22,4.0,5873
23,4.0,2299
24,4.5,789
25,4.0,3418
26,4.5,3974
27,4.0,2405
28,4.5,1384
29,4.0,6018
30,4.5,28
31,4.5,2454
32,4.0,1428
33,4.0,996
34,4.0,2963
35,4.0,70
36,4.0,1146
37,4.5,12
38,4.0,1454
39,4.0,4323
40,4.0,1615
41,4.0,1258
42,4.0,584
43,4.0,2942
44,4.0,2498
45,4.0,1867
46,4.0,2886
47,4.0,2716
48,4.0,1812
49,4.0,2846
50,4.0,649
51,4.0,6123
52,4.0,3863
53,5.0,17
54,4.5,1029
55,4.0,3204
56,4.5,64
57,4.0,715
58,4.0,1849
59,4.0,1503
60,4.0,2932
61,4.5,611
62,4.5,608
63,3.5,5122
64,4.0,1351
65,4.0,37
66,4.0,27
67,4.0,34
68,4.0,1897
69,4.0,1165
70,4.5,805
71,4.0,490
72,4.5,11
73,4.5,1643
74,4.5,839
75,4.0,1593
76,4.0,1428
77,4.5,112
78,4.0,1410
79,4.0,1612
80,4.0,275
81,4.5,60
82,4.5,1291
83,4.0,1130
84,4.5,2725
85,3.5,1757
86,4.0,477
87,4.0,689
88,4.5,33
89,4.0,370
90,4.0,1294
91,4.0,597
92,4.0,418
93,4.0,391
94,4.0,2289
95,4.0,1390
96,4.0,81
97,4.5,161
98,4.5,23
99,4.0,2355
100,4.5,1300
101,4.0,574
102,4.0,1669
103,4.5,208
104,4.5,171
105,4.0,82
106,4.5,791
107,4.0,337
108,4.0,1978
109,4.0,1908
110,4.0,2007
111,4.0,1325
112,4.5,473
113,4.5,253
114,4.0,696
115,4.0,226
116,4.0,914
117,4.5,1839
118,4.0,1433
119,4.5,275
120,4.0,240
121,5.0,2
122,4.0,1938
123,4.0,343
124,4.5,916
125,4.0,1039
126,4.0,342
127,4.0,2038
128,4.5,92
129,4.0,473
130,4.0,1356
131,4.0,257
132,4.0,3059
133,4.5,254
134,4.0,482
135,4.0,753
136,4.0,317
137,4.0,1391
138,3.5,1482
139,4.0,43
140,4.0,1043
141,4.0,2214
142,3.5,321
143,4.0,295
144,4.0,1543
145,4.0,458
146,4.0,2049
147,4.0,1965
148,4.0,287
149,4.0,1721
150,4.0,762
151,4.0,4282
152,4.0,577
153,3.5,1305
154,4.0,193
155,3.5,3923
156,4.0,2480
157,4.0,1102
158,3.5,1406
159,4.0,874
160,4.5,176
161,3.5,114
162,4.0,318
163,4.0,1006
164,4.0,893
165,4.0,537
166,4.0,954
167,4.0,421
168,4.0,1370
169,4.0,212
170,4.0,1152
171,4.5,1117
172,4.0,805
173,4.5,69
174,4.0,1928
175,4.0,250
176,4.0,1039
177,4.0,195
178,4.5,512
179,4.0,687
180,4.0,365
181,4.5,614
182,4.0,89
183,4.0,251
184,4.5,554
185,4.5,224
186,4.0,578
187,4.0,990
188,4.0,1745
189,4.5,376
190,4.5,290
191,4.5,1133
192,4.0,611
193,4.5,914
194,4.0,6996
195,4.0,570
196,4.0,537
197,4.5,324
198,3.5,214
199,4.5,83
200,4.5,47
201,4.0,1815
202,4.0,934
203,4.0,185
204,3.5,1349
205,3.5,5
206,4.0,1378
207,3.5,2931
208,4.0,1353
209,4.0,683
210,4.5,417
211,4.0,682
212,4.5,80
213,4.5,47
214,4.0,1642
215,4.0,1145
216,4.5,908
217,4.0,448
218,4.0,710
219,4.0,898
220,4.0,472
221,4.0,1034
222,4.0,1140
223,4.0,1030
224,4.0,866
225,4.0,174
226,4.0,1474
227,4.0,1565
228,4.5,447
229,4.0,1136
230,4.0,769
231,4.5,61
232,4.0,799
233,4.5,64
234,4.0,3297
235,4.0,578
236,4.5,2700
237,4.0,2457
238,4.0,488
239,4.0,3778
240,4.0,3020
241,4.5,2962
242,3.5,2119
243,4.0,1519
244,4.0,202
245,4.0,688
246,4.0,1257
247,4.5,641
248,4.0,314
249,4.0,3056
250,4.5,340
251,4.5,314
252,4.0,1003
253,4.0,883
254,4.0,2797
255,4.0,236
256,4.0,95
257,4.0,1112
258,4.0,1274
259,4.0,1004
260,3.5,1189
261,4.0,1236
262,4.0,1097
263,4.0,1198
264,4.0,1866
265,4.0,207
266,4.0,3838
267,4.5,97
268,4.0,2173
269,4.0,1266
270,3.5,312
271,4.0,157
272,4.5,7
273,4.0,410
274,4.0,1843
275,4.0,385
276,5.0,4
277,3.5,1950
278,4.5,775
279,4.5,976
280,4.0,2671
281,3.5,2398
282,4.0,1291
283,4.0,497
284,4.0,734
285,4.0,616
286,4.0,352
287,4.5,1549
288,4.0,369
289,4.0,1314
290,4.0,738
291,3.5,2605
292,4.0,771
293,4.0,864
294,4.0,539
295,4.0,711
296,4.5,11
297,4.5,1162
298,4.0,1386
299,3.5,569
300,4.5,143
301,4.5,27
302,4.0,449
303,3.5,2287
304,4.0,146
305,3.5,1429
306,4.0,1367
307,4.0,328
308,4.0,143
309,3.5,746
310,4.0,306
311,4.5,89
312,3.5,1005
313,4.0,1153
314,4.0,230
315,4.0,597
316,4.0,1320
317,4.5,2509
318,3.5,2196
319,4.0,1384
320,4.0,995
321,4.0,962
322,4.0,903
323,4.0,91
324,3.5,1311
325,4.0,96
326,4.0,1976
327,4.0,2571
328,3.5,1029
329,4.0,1418
330,3.5,707
331,4.0,564
332,3.5,3440
333,4.0,1539
334,4.5,119
335,4.0,109
336,4.0,274
337,4.0,626
338,4.0,415
339,4.0,145
340,4.0,682
341,4.0,183
342,4.0,856
343,4.0,369
344,4.5,214
345,4.0,633
346,4.5,127
347,4.0,441
348,4.5,107
349,4.0,580
350,4.0,442
351,4.0,1185
352,4.0,224
353,4.0,43
354,5.0,4
355,4.0,230
356,4.5,55
357,4.5,119
358,4.0,691
359,4.0,618
360,4.0,419
361,4.0,1316
362,3.5,1819
363,4.5,1337
364,4.5,342
365,4.0,122
366,3.5,713
367,4.5,1393
368,4.0,698
369,4.5,487
370,4.0,1237
371,4.5,338
372,5.0,16
373,4.0,797
374,4.0,590
375,4.0,2132
376,4.0,1592
377,4.5,108
378,4.0,1001
379,4.5,992
380,4.0,1366
381,4.0,84
382,4.0,580
383,4.0,20
384,4.0,1610
385,4.5,203
386,4.0,172
387,3.5,1407
388,4.0,564
389,4.0,141
390,4.0,1456
391,3.5,1695
392,4.0,2579
393,4.0,794
394,4.5,314
395,4.0,2119
396,3.5,979
397,4.0,869
398,4.0,1135
399,3.5,1411
400,4.0,713
401,4.0,480
402,3.5,3932
403,4.0,192
404,4.0,1562
405,4.0,237
406,3.5,803
407,4.5,1743
408,4.0,322
409,4.5,33
410,4.0,296
411,4.0,997
412,4.0,514
413,3.5,1225
414,4.0,556
415,4.0,363
416,4.0,399
417,4.5,40
418,4.0,162
419,4.0,306
420,4.5,140
421,3.5,982
422,4.5,197
423,3.0,2348
424,4.0,703
425,4.0,246
426,4.5,32
427,4.0,818
428,4.0,341
429,4.5,159
430,3.5,1336
431,4.0,983
432,4.5,130
433,4.0,707
434,4.0,105
435,4.0,1489
436,4.0,1463
437,4.0,77
438,4.0,2731
439,4.5,78
440,4.0,531
441,4.5,718
442,4.0,268
443,4.0,103
444,4.5,310
445,4.0,706
446,4.0,1403
447,4.0,1378
448,4.0,2105
449,4.5,87
450,4.0,232
451,4.5,82
452,4.0,646
453,4.0,23
454,4.0,1872
455,3.5,114
456,4.0,1052
457,4.5,615
458,3.5,1172
459,4.0,1328
460,4.0,1477
461,4.5,269
462,4.0,471
463,4.5,78
464,4.5,32
465,4.0,825
466,4.0,147
467,4.0,805
468,4.0,788
469,4.5,139
470,4.5,58
471,4.0,2020
472,4.0,206
473,4.0,541
474,4.0,1889
475,4.0,32
476,4.5,1152
477,4.0,373
478,4.5,140
479,4.0,790
480,4.0,634
481,4.5,34
482,4.5,104
483,4.0,615
484,4.0,538
485,4.5,627
486,3.5,1100
487,4.5,946
488,4.0,262
489,3.5,355
490,4.0,454
491,4.5,625
492,4.0,926
493,4.0,1298
494,4.0,102
495,4.0,270
496,4.5,322
497,3.0,1172
498,4.0,96
499,4.5,154
500,4.0,508
501,3.5,370
502,3.5,2068
503,4.5,103
504,4.0,2149
505,4.0,36
506,4.0,256
507,4.5,470
508,3.0,573
509,3.5,40
510,4.5,311
511,3.5,2256
512,4.5,667
513,4.0,2377
514,4.0,492
515,3.5,1216
516,3.0,1476
517,4.0,1146
518,4.5,39
519,4.5,51
520,4.0,98
521,3.5,547
522,4.0,258
523,4.5,219
524,4.0,1535
525,4.0,386
526,4.0,1316
527,3.5,292
528,4.0,600
529,4.0,100
530,4.0,1314
531,3.5,522
532,4.0,52
533,4.0,217
534,4.0,81
535,4.5,319
536,3.5,1599
537,4.0,814
538,4.5,659
539,4.5,615
540,4.0,421
541,4.0,513
542,4.0,598
543,4.0,197
544,4.0,872
545,4.0,1390
546,3.5,1216
547,4.0,1132
548,4.5,637
549,4.0,592
550,4.0,594
551,3.5,370
552,3.5,2068
553,4.5,103
554,4.0,2149
555,4.0,36
556,4.0,256
557,4.5,470
558,3.0,573
559,3.5,40
560,4.5,311
561,3.5,2256
562,4.5,667
563,4.0,2377
564,4.0,492
565,3.5,1216
566,3.0,1476
567,4.0,1146
568,4.5,39
569,4.5,51
570,4.0,98
571,3.5,547
572,4.0,258
573,4.5,219
574,4.0,1535
575,4.0,386
576,4.0,1316
577,3.5,292
578,4.0,600
579,4.0,100
580,4.0,1314
581,3.5,522
582,4.0,52
583,4.0,217
584,4.0,81
585,4.5,319
586,3.5,1599
587,4.0,814
588,4.5,659
589,4.5,615
590,4.0,421
591,4.0,513
592,4.0,598
593,4.0,197
594,4.0,872
595,4.0,1390
596,3.5,1216
597,4.0,1132
598,4.5,637
599,4.0,592
600,4.0,594
601,4.0,1031
602,3.0,822
603,4.0,341
604,3.5,1355
605,3.5,1804
606,4.5,365
607,4.0,258
608,4.0,693
609,3.5,664
610,4.0,414
611,3.5,1852
612,4.0,205
613,4.5,322
614,4.5,470
615,3.5,235
616,4.0,440
617,3.5,39
618,4.0,421
619,4.5,107
620,4.0,473
621,4.0,425
622,4.0,632
623,3.5,837
624,4.0,1100
625,4.0,273
626,4.0,297
627,3.5,355
628,3.5,1045
629,3.5,896
630,4.5,555
631,5.0,6
632,4.0,572
633,3.5,961
634,4.5,142
635,4.5,359
636,3.5,1126
637,4.0,292
638,4.5,519
639,4.0,532
640,4.0,1038
641,4.5,108
642,4.0,450
643,4.0,1029
644,4.0,212
645,4.0,685
646,3.0,357
647,4.0,282
648,4.0,162
649,4.0,470
650,4.0,421
651,3.5,291
652,4.0,428
653,4.0,2797
654,3.5,1522
655,4.0,389
656,4.5,408
657,4.0,409
658,3.5,652
659,4.0,1407
660,3.5,779
661,4.0,249
662,3.5,639
663,4.5,96
664,3.5,1032
665,4.0,757
666,3.5,1124
667,3.5,1551
668,4.5,280
669,4.0,320
670,4.0,394
671,3.0,357
672,4.0,1293
673,4.0,837
674,4.0,481
675,4.5,916
676,4.0,321
677,3.5,112
678,4.0,1442
679,4.0,629
680,4.0,153
681,4.5,1046
682,4.0,104
683,4.0,487
684,4.0,551
685,4.5,90
686,4.0,484
687,4.0,477
688,4.5,869
689,4.0,860
690,4.5,202
691,3.5,1102
692,4.0,558
693,4.0,1057
694,4.0,522
695,4.0,825
696,3.5,334
697,4.5,248
698,3.5,568
699,4.5,411
700,4.0,569
701,3.5,1552
702,4.0,708
703,4.5,48
704,3.5,1311
705,4.0,576
706,4.0,550
707,3.5,1522
708,4.5,784
709,4.0,285
710,4.5,100
711,4.0,168
712,4.0,681
713,4.5,105
714,3.5,659
715,4.0,385
716,3.5,499
717,3.0,1474
718,4.0,554
719,3.5,853
720,4.0,1253
721,4.0,329
722,3.5,1041
723,4.0,1753
724,4.0,521
725,4.0,905
726,4.5,178
727,4.0,301
728,4.0,1101
729,4.5,138
730,3.5,1187
731,4.0,224
732,4.0,658
733,4.0,261
734,4.0,481
735,3.5,596
736,4.0,1039
737,4.0,231
738,4.0,524
739,4.5,301
740,4.5,58
741,4.0,819
742,4.0,544
743,4.0,651
744,4.5,157
745,3.5,153
746,4.5,176
747,4.0,39
748,4.0,1112
749,4.5,509
750,3.5,662
751,4.5,338
752,4.5,404
753,3.0,702
754,4.0,730
755,4.0,52
756,3.5,902
757,3.5,734
758,4.0,1415
759,4.5,506
760,4.0,612
761,4.0,454
762,4.5,236
763,4.0,778
764,4.0,192
765,4.0,385
766,4.0,549
767,3.5,585
768,4.0,535
769,4.0,537
770,4.0,301
771,3.5,570
772,4.0,342
773,3.5,828
774,4.5,218
775,4.0,826
776,4.0,526
777,3.5,422
778,3.5,588
779,4.0,507
780,3.5,809
781,4.0,150
782,4.5,401
783,3.5,1045
784,4.0,666
785,4.0,600
786,4.0,384
787,4.5,140
788,4.0,234
789,4.0,761
790,3.5,1375
791,4.0,704
792,4.0,289
793,4.0,1403
794,4.5,245
795,3.5,374
796,3.5,972
797,3.5,844
798,4.0,726
799,4.0,568
800,4.5,141
801,4.0,568
802,4.5,141
803,3.5,187
804,3.5,1169
805,4.0,376
806,4.5,347
807,3.5,1163
808,4.5,55
809,4.0,1921
810,4.0,1186
811,3.5,841
812,3.5,676
813,4.0,278
814,4.0,551
815,4.0,96
816,4.0,149
817,4.0,586
818,4.0,271
819,3.5,178
820,3.5,1091
821,4.0,268
822,3.5,1241
823,4.0,647
824,4.0,539
825,4.0,368
826,4.0,144
827,4.0,271
828,4.0,398
829,3.5,322
830,4.5,213
831,4.0,415
832,3.5,622
833,3.5,654
834,4.0,311
835,3.5,308
836,3.5,341
837,3.5,654
838,3.5,472
839,3.5,332
840,3.5,1078
841,4.0,306
842,4.5,187
843,4.0,349
844,4.0,248
845,4.0,911
846,4.0,122
847,4.0,143
848,4.0,409
849,4.0,612
850,4.0,305
851,3.5,670
852,4.0,715
853,4.5,202
854,4.0,966
855,4.0,363
856,4.0,614
857,3.5,147
858,4.0,49
859,3.5,1929
860,4.5,291
861,4.0,632
862,4.0,554
863,4.0,258
864,3.5,1698
865,4.0,488
866,4.0,803
867,4.0,261
868,3.5,949
869,3.5,701
870,4.0,143
871,3.5,83
872,4.0,384
873,3.5,2431
874,4.0,505
875,3.5,257
876,4.5,127
877,4.5,312
878,4.0,472
879,3.5,57
880,3.0,585
881,4.0,824
882,4.5,1027
883,4.0,132
884,4.0,209
885,4.0,257
886,3.5,1030
887,4.0,859
888,4.0,908
