"id","name","image","addr"
1,Fog Harbor Fish House,https://s3-media1.fl.yelpcdn.com/bphoto/DemnQQ9M05jXzjD_cxF81A/o.jpg,"Pier 39, Ste A-202, San Francisco, CA 94133"
2,The House,https://s3-media3.fl.yelpcdn.com/bphoto/K48sSeIuHURatMBrSTfOTg/o.jpg,"1230 Grant Ave, San Francisco, CA 94133"
3,Marufuku Ramen,https://s3-media2.fl.yelpcdn.com/bphoto/2lUFO5HWD7_RLDWlT5Nvuw/o.jpg,"1581 Webster St, Ste 235, San Francisco, CA 94115"
4,Pasta Pop-Up,https://s3-media3.fl.yelpcdn.com/bphoto/9kC1m6SNbho-oW874vHVzA/o.jpg,"550 Green St, San Francisco, CA 94133"
5,MARUGAME UDON,https://s3-media2.fl.yelpcdn.com/bphoto/ec0ItWEVlBNcKPFDbTMNyw/o.jpg,"3251 20th Ave, Space 184, San Francisco, CA 94132"
6,Hog Island Oyster Co,https://s3-media2.fl.yelpcdn.com/bphoto/lm8OpdFI1UrHrI0bN074iA/o.jpg,"1 Ferry Bldg, Shop 11, San Francisco, CA 94111"
7,Nopa,https://s3-media3.fl.yelpcdn.com/bphoto/M8lkaDkG8GChJ1qvXhtLNw/o.jpg,"560 Divisadero St, San Francisco, CA 94117"
8,Sotto Mare Oysteria & Seafood,https://s3-media3.fl.yelpcdn.com/bphoto/A5sqbVpCIMqUdae_TSMkjQ/o.jpg,"552 Green St, San Francisco, CA 94133"
9,Brenda's French Soul Food,https://s3-media1.fl.yelpcdn.com/bphoto/YT8ho02lCT6Ubu3vx8uCaw/o.jpg,"652 Polk St, San Francisco, CA 94102"
10,Noodle in a Haystack,https://s3-media3.fl.yelpcdn.com/bphoto/0kGb7Y-ISLPGaf36MZhpfA/o.jpg,"San Francisco, CA 94110"
11,Marlowe,https://s3-media3.fl.yelpcdn.com/bphoto/uweSiOf0XBB4BPk_ibHVyg/o.jpg,"500 Brannan St, San Francisco, CA 94107"
12,Liholiho Yacht Club,https://s3-media3.fl.yelpcdn.com/bphoto/FK2X98w6z5naJyiQjsGTNA/o.jpg,"871 Sutter St, San Francisco, CA 94109"
